category,value,question,answer
toys & games,400,Binney & Smith makes them in 64 colors,(Crayola) crayons
toys & games,500,She's been a teenage fashion model for over 25 years,Barbie
transportation,100,"It could be paddle wheel, cargo or tramp",a steamer
transportation,200,"Charlton Heston was ""on track"" with it in ""Ben Hur\""",a chariot
transportation,500,Vehicle Butch Cassidy rode during this song:,a bicycle
flowers & trees,100,"Its seed is used in baking, but 1 type produces opium",the poppy
flowers & trees,200,"Long associated with Lebanon, this tree is on its flag",a cedar
trivia,100,In 1983 Americans used over 1¼ million gallons of this beach product,suntan lotion
trivia,200,"When it was rung for Chief Justice John Marshall's funeral, it cracked",the Liberty Bell
trivia,300,"\""Kingdom"" that Khrushchev couldn't visit in 1959 U.S. trip",the Magic Kingdom/Disneyland
trivia,400,"Dr. Seuss' egg-hatching elephant who was ""faithful, 100%\""",Horton
trivia,500,It spent the night in a discount-house parking lot before heading to L.A. Coliseum,the Olympic torch
the civil war,200,Lincoln's four brothers-in-law all served in this army,the Confederate army
the civil war,400,"Though shots fired at this garrison started the war, no casualties resulted",Fort Sumter
the civil war,600,He was Lincoln's first choice to lead the Union army,Robert E. Lee
the civil war,800,State that seceded from state that seceded,West Virginia
the civil war,1000,"General Nicknamed ""Uncle Billy"" who believed in total war",(William Tecumseh) Sherman
anatomy,200,"Mark Anthony borrowed them, then bent them",ears
anatomy,400,Over ½ of these are in your hands & feet,your bones
anatomy,600,Number of chambers in a judge's heart,4
anatomy,800,"The body has over 60,000 miles of them",blood vessels
anatomy,3500,"Prominent zygomatic bones, considered an attractive facial feature",cheek bones
movies,200,"To Dustin Hoffman this '82 film was a ""drag\""",Tootsie
movies,400,"Film featuring March & Gaynor, Garland & Mason or Streisand & Kristofferson",A Star Is Born
movies,600,"In '84 he's a destroyer, in '82 he was just a barbarian",Conan
movies,800,Walter Matthau & Tony Curtis both coached this kids' baseball team,The Bad News Bears
movies,1000,"Went from bit part in film ""Little Shop of Horrors"" to Oscars for Best Actor & Best Support",Jack Nicholson
state capitals,200,"It succeeded Fort Whipple, Prescott, & Tucson as capital",Phoenix
state capitals,400,Lincoln lived & practiced law here for 25 years before becoming president,Springfield
state capitals,600,"1 of 4 state capitals that end in word ""City\""","(1 of) Salt Lake City, Oklahoma City, Jefferson City, Carson City"
alphabet soup,200,He's the heavyweight of the A-Team,Mr. T
alphabet soup,400,Caveman comic strip created by Johnny Hart,"\""B.C.\"""
alphabet soup,600,Letter shared by sensuous woman author & 76'ers Doctor,J
alphabet soup,800,What Bo Derek would have been in ancient Rome,X
alphabet soup,1000,Binet & Simon's measure of mental age,the IQ
business & industry,200,"\""Body-building"" brand of bread from ""the bakery people of IT&T\""",Wonder Bread
business & industry,400,"In 1978, this German co. became first foreign automaker to make cars here",Volkswagen
business & industry,600,This company owns the world's tallest building,Sears(-Roebuck)
business & industry,800,Piggly Wiggly stores were the first of these,supermarkets
american government,0,"Since 1970, the only cabinet department not headed by a secretary",the Attorney General's Department
american literature,100,Melville's white whale tale,Moby-Dick
american literature,200,"Lincoln called it ""the book that caused the big war\""",Uncle Tom's Cabin
american literature,300,"Steinbeck novel dubbed ""the Uncle Tom's Cabin of the Depression\""",The Grapes of Wrath
american literature,400,"He gave Hester a scarlet ""A\""",Nathaniel Hawthorne
american literature,500,"Great-grand nephew of Francis Scott Key, he was the voice of the Jazz Age",F. Scott Fitzgerald
all numbers,100,"It was ""enough"" for Dick van Patten",Eight
all numbers,200,"A teen's ""sweet"" age",16
religion,100,Country that is home to Parsis & Sikhs,India
religion,200,More common name for The Watchtower Bible & Tract Society,Jehovah's Witnesses
religion,300,Some 3 million pilgrims visit this small French town annually,Lourdes
trivia,100,"\""Only you can prevent forest fires\""",Smokey the Bear('s motto)
trivia,200,Nickname of our 16th president & Li'l Abner's son,Honest Abe
trivia,300,"Though this actress' cat is named for Buster Keaton, she's really no relation",Diane Keaton
trivia,400,"Above this I.Q. mark, you're considered a genius",140
trivia,500,State name that's misspelled on the Liberty Bell,Pennsylvania
national parks,100,"Due to earthquakes, this Yellowstone geyser no longer erupts on time",Old Faithful
national parks,200,Logs in this forest may be 150 million years old,the Petrified Forest
national parks,300,There are still unexplored areas of these New Mexico caves,Carlsbad Caverns
national parks,400,"Mount Whitney, highest point in lower 48 states, is in this park named for its trees",Sequoia National Park
national parks,500,"This southern subtropical wilderness is home to manatees & TV's ""Gentle Ben\""",the Everglades
trios,100,D'Artagnan's best buddies,the Three Musketeers
trios,200,"With them under foot, Uncle Donald's life wasn't duck soup","Huey, Dewey, and Louie"
trios,300,"\""Candy Man"" who began with the Will Mastin Trio","Sammy Davis, Jr."
trios,400,Classic TV puppet show which also featured Beulah Witch & Delores Dragon,"Kukla, Fran & Ollie"
trios,500,"Apollo II trio; while Collins circled Moon, these 2 landed",Neil Armstrong & Buzz Aldrin
chemistry,200,Coal & diamonds both consist of it,carbon
chemistry,400,Common kitchen substance known chemically as sodium chloride,salt
chemistry,1000,"The chemical symbol for sulfuric acid, it completes this poem:  ""Say farewell to the professor He'll be with us no more For what he thought was H2O Was...\""",H
chemistry,800,"Used in cars' catalytic converters, it's more expensive than gold",platinum
chemistry,1000,U.S. & Canada produce almost entire world supply of this lightest inert gas,helium
the press,200,"It carries the motto ""All the news that's fit to print\""",The New York Times
the press,400,First published in 1889 by the Dow Jones Co.,The Wall Street Journal
the press,600,"Harvard Lampoon alumnus, by 1937 he owned 25 daily newspapers & a California castle",William Randolph Hearst
the press,1000,The official news agency of the Soviet Union,TASS
travel & tourism,200,"Although this Roman arena could hold 50,000, it's not on the Jackson tour",the Colosseum
travel & tourism,400,Date just west of this is 1 day later than the date just east,the International Date Line
travel & tourism,800,"Official endorsement to show validity of a passport, or a major credit card",a visa
travel & tourism,1000,"Currency of Liechtenstein, Luxembourg & Andorra",the franc
"starts with ""j\""",200,The first Mrs. Bonaparte,Josephine
"starts with ""j\""",400,A puzzle people go to pieces over,a jigsaw puzzle
"starts with ""j\""",600,"The police say ""fine"" for crossing the street this way",jaywalking
"starts with ""j\""",3000,"The only ""J"" in the Pledge of Allegiance",justice
"starts with ""j\""",1000,Event an Olympian throws,javelin
shakespeare,200,"Hamlet found ""something rotten"" in this country",Denmark
shakespeare,400,"The Moor who loved Desdemona ""not wisely, but too well\""",Othello
shakespeare,600,"Battle of the sexes on which musical ""Kiss Me Kate"" was based",The Taming of the Shrew
shakespeare,800,Chubby character who loved his ale & supplied the name for one,Falstaff
shakespeare,1000,She was 8 years older & 3 months pregnant when Shakespeare married her,Anne Hathaway
sport of kings,200,Horse racing was a sport at these ancient Greek contests,the Olympics
sport of kings,400,"Collective name of Kentucky Derby, Preakness, & Belmont Stakes",the Triple Crown
sport of kings,600,"Billy the Cobbler, or a famous jockey",Willie Shoemaker
sport of kings,800,"Since 1936, because of this, horses ""say cheese"" at the end of races",a photo finish
sport of kings,1000,All U.S. thoroughbreds are officially born on this day of the year,January 1
the olympics,0,"Of the 5 continents symbolized by Olympic rings, only one never to hold Games",Africa
fiction,100,"Shakespeare's ""star-crossed"" lovers",Romeo and Juliet
fiction,200,"The ""lovable"" family of Peter Pan",the Darlings
fiction,300,"\""Cat on a Hot Tin Roof's"" portly patriarch",Big Daddy
fiction,400,"The Philip Roth character with a ""complaint\""",Portnoy
fiction,500,Pasternak's Moscow medic,Dr. Zhivago
first ladies,100,"She talked to Arnold's class about drugs on TV's ""Diff'rent Strokes\""",Nancy Reagan
first ladies,200,"One of her early suitors was her husband's arch rival, Stephen A. Douglas",Mary Todd Lincoln
first ladies,300,"Teddy's niece, her married & maiden names were the same",Eleanor Roosevelt
first ladies,400,Her tough Texas husband preferred her nickname to calling her Claudia Alta,Lady Bird Johnson
first ladies,1000,She was expelled from Society of Friends for marrying non-Quaker 4th president,Dolley Madison
mysteries,100,Dashiell Hammett detective played on the screen by Humphrey Bogart,Sam Spade
mysteries,200,1st cousins Dannay & Lee wrote the Ellery Queen stories under this pen name,Ellery Queen
mysteries,300,"This agency's symbol of an unblinking eye gave birth to the phrase ""private eye\""",the Pinkerton agency
mysteries,400,She's Agatha Christie's ageless amateur detective,Miss (Jane) Marple
mysteries,500,"Author of ""Burr"" who wrote chilling mysteries under the pen name Edgar Box",Gore Vidal
racy ladies,100,"Driving with a broken wrist, Janet Guthrie was the 1st woman to compete in this race",the Indianapolis 500
racy ladies,200,"Though a hot prospect in '80, Beth Heiden was frozen out of gold in this Olympic sport",speed skating
racy ladies,300,Never has to jockey for position as Mrs. Fred Astaire,Robyn Smith
addresses,100,The prime minister of England lives here,10 Downing Street
addresses,200,Feathered friend who lives at 123½ Sesame Street,Big Bird
addresses,300,He shared digs with John Watson at 221-B Baker Street,Sherlock Holmes
addresses,400,"\""Kookie"" Byrnes parked cars for Dino's Lodge",77 Sunset Strip
addresses,500,"You'd find this at 1313 S. Harbor Boulevard in Anaheim, CA",Disneyland
trivia,100,They were formerly called the Sandwich Islands,Hawaii
trivia,200,Number of blank tiles in a Scrabble set,2
trivia,300,Longest river in Canada or the SCTV bros.,the Mackenzie
trivia,400,It's whom Boris Spassky lost the chess crown to in 1972,Bobby Fischer
trivia,500,"Awarded medal as ""1st woman to be killed in action"" in WWII: she was Gable's wife",Carole Lombard
black america,200,The first black in Big League Baseball,Jackie Robinson
black america,400,"Forced to give up crown as Miss America because of photos in ""Penthouse\""",Vanessa Williams
black america,600,"A symbol for black performers in film since the '50's, he won an Oscar as Best Actor in '63",Sidney Poitier
black america,800,"As result of anti-slavery raid on Harper's Ferry, his ""body lies a moldering in the grave\""",John Brown
black america,1000,"Harriet Tubman, who freed over 300 slaves, was 1 of its foremost ""conductors\""",the Underground Railroad
grammar,200,"The adverb in ""think fast\""",fast
grammar,400,The superlative form of good,best
grammar,2000,"It can be common, proper, collective or concrete",a noun
grammar,800,3-letter ending of present participles & gerunds,-ing
grammar,1000,It comes at the end of a declarative sentence,a period
brothers & sisters,200,"An ""easy rider"" whose sister played an easy lady in ""Klute\""",Peter Fonda
brothers & sisters,400,"In the Bible, Aaron was this brother's mouthpiece in dealing with Pharaoh",Moses
brothers & sisters,600,"Nursing mother who wouldn't make ""house calls"", she's Vanessa's sister",Lynn Redgrave
brothers & sisters,800,"Apollo's loving sister, sometimes served on the half shell",Venus
greek mythology,200,Hilltop home of the gods,Mt. Olympus
greek mythology,400,"He ultimately got ""fleeced"" by Medea",Jason
greek mythology,600,"A challenge to any optician, these giants had only one eye",cyclops
greek mythology,800,"A ""bull"" of a man, he lived in a labyrinth",the Minotaur
greek mythology,1000,"First member of the ""me"" generation, this youth fell in love with his own reflection",Narcissus
foods,200,"\""Real men"" don't eat this French custard cheese pie",quiche
foods,400,"On the market since 1896, it wasn't until 1912 that they included prizes",Cracker-Jacks
soviet union,200,"Largest Soviet newspaper, its name means ""Truth\""",Pravda
soviet union,400,Daughter of this Soviet ruler has been living in America since 1967,Stalin
soviet union,600,Soviet republic that has same name as an American state,Georgia
soviet union,800,Soviet official who advocated using gasoline-filled bottles against Nazi tanks,Molotov
soviet union,2000,Kenny Ball did this jazzed up version of an old Russian folk song,"\""Midnight In Moscow\"""
science,0,The mammal that holds the record for the longest lifespan,man
geography,100,Formerly Formosa,Taiwan
geography,200,Dutch is still an official language in what is now called Suriname,Dutch Guiana
geography,300,"8th most populous country in the world, this ""Bengal Nation"" was once East Pakistan",Bangladesh
geography,400,"First colony since 1776 to break from Britain without consent, it is now Zimbabwe",Rhodesia
geography,500,About 1/3 of Africa's Pygmy population lives in what was once Belgian Congo,Zaire
double talk,100,"Not a Hawaiian cow, but a dress worn by Hawaiian women",a muumuu
double talk,200,Affirmative reply to an admiral's command,aye aye
double talk,300,Adopted baby of Barney & Betty Rubble,Bamm-Bamm
double talk,400,Washington's panda with pregnancy problems,Ling-Ling
double talk,500,"British rockers whose name came from villain in sci-fi film ""Barbarella\""",Duran Duran
"\""jacks"" of all trades",100,He celebrated his 39th birthday 41 times,Jack Benny
"\""jacks"" of all trades",200,"Between him & his wife, they licked the platter clean",Jack Sprat
"\""jacks"" of all trades",300,"He didn't find gold in the Klondike, so he wrote ""The Call of the Wild\""",Jack London
"\""jacks"" of all trades",400,"His nickname was the ""Manassa Mauler\""",Jack Dempsey
"\""jacks"" of all trades",500,"2nd generation pop singer, he's sung on every ""Love Boat"" voyage",Jack Jones
ships,100,"\""Unsinkable"" for most of its maiden voyage in 1912",the Titanic
ships,200,Merchant ship that made the trip in 1620 from Plymouth to Cape Cod,the Mayflower
ships,300,"He entertained world leaders on his yacht ""Christina\""",(Aristotle) Onassis
ships,400,Royal neighbor of the Spruce Goose,the Queen Mary
ships,500,"At some 500' long & with 9 masts, the ""Cheng Ho"" was largest of this kind",a junk
"\""b"" movies",100,"In '61 movie, Audrey Hepburn's alternative to brunch in bed",Breakfast at Tiffany's
"\""b"" movies",200,Burt Lancaster film in which his only friends were feathered,Birdman of Alcatraz
"\""b"" movies",300,Poignant movie in which Peter Sellers turned on the TV & tuned out the world,Being There
"\""b"" movies",400,This title describes Carroll Baker's thumb-sucking character & nightie she wore,Baby Doll
"\""b"" movies",500,Sensitive Mart Crowley treatment of gays marching to a different drummer,The Boys in the Band
sports,100,What Gary Player plays professionailly,golf
sports,500,"Boxer whose life was portrayed in ""Somebody Up There Likes Me\""",Rocky Graziano
labor unions,200,Notorious labor leader missing since '75,Jimmy Hoffa
1789,200,"Washington proclaimed Nov. 26, 1789 this first national holiday",Thanksgiving
1789,400,Why April 28th was a bad day for Capt. Bligh,the day of the mutiny on the Bounty
1789,1000,"Now totaling over $1 trillion, it began 11 days after Treasury was established in 1789",the national debt
tourist traps,200,Both Ferde Grofe' & the Colorado River dug this national park,the Grand Canyon
tourist traps,400,Seaside resort that has a monopoly on East Coast gambling,"Atlantic City, New Jersey"
tourist traps,600,"Since '27, stars have made good impressions at this Hollywood site",Mann's Chinese Theatre
tourist traps,800,A thrilling destination for tight-rope walkers & honeymooners,Niagara Falls
tourist traps,1000,Tourists know this Catholic mission as Davy Crockett's last stand,the Alamo
literature,200,"Depending on the book, he could be a ""Jones"", a ""Sawyer"", or an ""Uncle\""",Tom
literature,400,"He wrote ""The 3 Musketeers""; his son wrote ""Camille\""",(Alexandre) Dumas
literature,600,Where you can't go again in Thomas Wolfe title,home
literature,800,Irving's bird-like hero chased by the Headless Horseman,Ichabod Crane
literature,1000,Shaw's scorched saint,St. Joan of Arc
homonyms,200,Hindu hierarchy or a play's actors,a caste (cast)
homonyms,400,Near or a purchase,by (buy)
homonyms,600,"A fixed look, or Ginger Rogers' partner",a stare (Astaire)
homonyms,1000,Didn't see the fog,missed (mist)
homonyms,1000,Where ships dock or what a jury consists of,piers (peers)
tv trivia,200,"Last season, this series mourned the loss of Sgt. Esterhaus",Hill Street Blues
tv trivia,400,He went from the Ponderosa to the prairie,Michael Landon
tv trivia,600,"In 1970 he had a ""Goodtime Hour\""",Glen Campbell
tv trivia,800,"Jackie Gleason show that rejected titles ""The Lovers"" & ""The Couple Next Door\""",The Honeymooners
tv trivia,1000,"In court, he'd always make mincemeat of Hamilton Burger",Perry Mason
u.s. presidents,0,"Adventurous 26th president, he was 1st to ride in an automobile & an airplane",Theodore Roosevelt
gay '90s,100,"By '97 they had air-filled rubber tires, coaster brakes & adjustable handlebars",bicycles
gay '90s,200,It sank in Havana Harbor & set off a war,the Maine
gay '90s,300,"On March 18, 1891, this mode of communication was inaugurated between London & Paris",the telephone
potent potables,100,In 1935 Kreuger's Cream Ale was the first beer sold in these,cans
potent potables,200,"Never swallowing, they sip, swish, gargle, then spit out what they sample",what wine tasters do
potent potables,300,This 19th century Philadelphia distiller's name became slang for liquor,Booze
potent potables,400,"Derived from Hindu word for ""5"", describing number of ingredients mixed in a large bowl",punch
potent potables,500,C2H5OH,the formula for alcohol
states in song,100,It's where I came from with a banjo on my knee,Alabama
states in song,200,"According to Beach Boys' hit, state with the cutest girls in the world",California
states in song,300,State where you'd find Elvis' rain & Diamond's woman,Kentucky
states in song,400,"The alternate lyrics to ""I've Been Working On The Railroad\""","\""The Eyes Of Texas\"""
states in song,500,Patti Page hit that is official song of a southern state,"\""The Tennessee Waltz\"""
old testament,100,Delilah gave him a real trimming,Samson
old testament,200,"In Hebrew its name means ""Sea of Reeds\""",the Red Sea
